participant_id,image_id,carlike,detail,realism,resemblence,creative,general_impression,made_by,note
30,9,4,4,3,2,3,4,known,
30,10,3,3,4,4,3,3,computer,
30,11,2,2,2,3,3,3,computer,
30,12,4,3,4,3,3,4,known,
32,5,2,2,1,1,5,2,known,"Poster voor een horror film Met een beetje fantasie zie ik in een auto in de witte vlek..."
32,6,3,3,3,2,4,4,human,"Ziet er uit als een creatie dat door top gear of dergelijke gemaakt is. Lijkt 2 voorkanten te hebben door naar de spiegels te kijken echter de bumper en lichten doen een achterkant vermoeden. Best interessant."
32,7,4,4,3,3,4,4,computer,"Een pickup cabrio, grappig concept. Front heeft een rare bumper guard langs 1 zeide maar niet de andere zeide, deuren en lade van truck lijken slecht aan elkaar geplakt en er is een rare plek op de achterkant. Vermoedelijk pc maar wel intreressant idee."
32,8,4,3,3,4,2,3,known,"Mercedes SUV met BMW angle eyes"
32,9,4,5,4,4,3,4,human,"Heeft iets weg van de Bentley Flying Spur. Voorkant lijkt terug op achterkant als je lichten bestudeerd."
32,10,5,4,5,3,5,5,known,"Leuk design, Iets in mij zegt Audi maar geeen idee welk model het juist zou zijn. Passa koplamp is raar"
32,11,4,2,2,4,2,3,computer,"Lijkt op een aston martin met alpine lichten op geplakt. Vrij slechte kwalieteit maar wel interesant, rare scope in motorkap."
32,12,4,5,3,3,4,3,known,"Grappig, op een snelle glans realistisch maar dat is het uiteraard niet. Heeft iets weg van Kia Rio"
